,320CH1-A,320CH2-A,320CH3-A,320CH4-A,320CH5-A,320CH6-A,320CH7-A,320CH8-A,320CH9-A,320CH10-A,320CH11-A,320CH12-A,320CH13-A,320CH14-A,320CH15-A,320CH16-A,320CH17-A,320CH18-A,320CH19-A,320CH20-A,320CH21-A,320CH22-A,320CH23-A,320CH24-A,320CH25-A,320CH26-A,320CH27-A,320CH28-A,320CH29-A,320CH30-A,320CH31-A,320CH32-A,320CH33-A,320CH34-A,320CH35-A,355CH1-A,355CH2-A,355CH3-A,355CH4-A,355CH5-A,355CH6-A,355CH7-A,355CH8-A,355CH9-A,355CH10-A,355CH11-A,355CH12-A,355CH13-A,355CH14-A,355CH15-A,355CH16-A,355CH17-A,355CH18-A,355CH19-A,355CH20-A,355CH21-A,355CH22-A,355CH23-A,355CH24-A,355CH25-A,355CH26-A,355CH27-A,355CH28-A,355CH29-A,355CH30-A,355CH31-A,355CH32-A,355CH33-A,355CH34-A,355CH35-A,405CH1-A,405CH2-A,405CH3-A,405CH4-A,405CH5-A,405CH6-A,405CH7-A,405CH8-A,405CH9-A,405CH10-A,405CH11-A,405CH12-A,405CH13-A,405CH14-A,405CH15-A,405CH16-A,405CH17-A,405CH18-A,405CH19-A,405CH20-A,405CH21-A,405CH22-A,405CH23-A,405CH24-A,405CH25-A,405CH26-A,405CH27-A,405CH28-A,405CH29-A,405CH30-A,405CH31-A,405CH32-A,405CH33-A,405CH34-A,405CH35-A,488CH4-A,488CH5-A,488CH6-A,488CH7-A,488CH8-A,488CH9-A,488CH10-A,488CH11-A,488CH12-A,488CH13-A,488CH14-A,488CH15-A,488CH16-A,488CH17-A,488CH18-A,488CH19-A,488CH20-A,488CH21-A,488CH22-A,488CH23-A,488CH24-A,488CH25-A,488CH26-A,488CH27-A,488CH28-A,488CH29-A,488CH30-A,488CH31-A,488CH32-A,488CH33-A,488CH34-A,488CH35-A,561CH10-A,561CH11-A,561CH12-A,561CH13-A,561CH14-A,561CH15-A,561CH16-A,561CH17-A,561CH18-A,561CH19-A,561CH20-A,561CH21-A,561CH22-A,561CH23-A,561CH24-A,561CH25-A,561CH26-A,561CH27-A,561CH28-A,561CH29-A,561CH30-A,561CH31-A,561CH32-A,561CH33-A,561CH34-A,561CH35-A,637CH17-A,637CH18-A,637CH19-A,637CH20-A,637CH21-A,637CH22-A,637CH23-A,637CH24-A,637CH25-A,637CH26-A,637CH27-A,637CH28-A,637CH29-A,637CH30-A,637CH31-A,637CH32-A,637CH33-A,637CH34-A,637CH35-A
NovaFluor Blue 660-120S,-0.000952193,-0.000119958,0.000102462,0.002169145,0.006558941,0.012475426,0.011412299,0.006474658,0.000695846,0.001023149,0.002894061,0.002436213,0.002019397,0.00246004,0.001280137,0.007988567,0.079286718,0.137482285,0.118361594,0.091114728,0.054586788,0.03529469,0.02845446,0.024374273,0.018967985,0.013061973,0.009112999,0.004958009,0.001820789,0.000386967,0.000194859,9.56E-05,8.75E-05,3.98E-05,1.02E-05,-0.001129393,-0.000335391,-2.47E-05,2.43E-05,0.000349311,0.001205327,0.001253382,0.00074543,0.000160036,0.000105587,0.000382168,0.000198924,9.19E-05,0.000221233,0.000142431,0.000385246,0.004953902,0.008559438,0.008624561,0.006170659,0.003427811,0.002189324,0.001700462,0.001599615,0.001269984,0.001132712,0.000735708,0.000566228,0.000363078,0.00018962,0.00015131,0.000120855,4.24E-05,4.56E-05,6.87E-05,-0.000750219,-0.001049071,-0.000239828,0.003946847,0.011217709,0.023390806,0.024410697,0.013947423,0.001821078,0.002456957,0.005679008,0.004458688,0.003898418,0.005077253,0.002674469,0.014471654,0.135480287,0.215179269,0.189180949,0.123940469,0.078638186,0.050130103,0.040343693,0.035060571,0.029071021,0.022193129,0.015044187,0.010309374,0.006827232,0.004640587,0.002898009,0.002474004,0.001650001,0.000541379,0.000216207,0.026632643,0.06473961,0.157027151,0.163507007,0.099390466,0.016654531,0.015324187,0.042643635,0.034636926,0.025168656,0.023666268,0.012453653,0.028971356,0.348790557,0.621446179,0.605426033,0.436964579,0.259577974,0.160551192,0.119306168,0.108914333,0.096583693,0.077913776,0.056189233,0.039162625,0.026889922,0.016905627,0.013067628,0.010086916,0.008466055,0.00639569,0.004287361,0.001521363,0.003787055,0.004898904,0.006206025,0.007703634,0.004154273,0.007973422,0.076627789,0.149127384,0.129747903,0.090662497,0.058284506,0.036366542,0.029792231,0.02467541,0.021895096,0.016791102,0.011312457,0.007804634,0.005130167,0.002678647,0.001071206,0.000556926,0.000238525,7.33E-05,5.98E-05,0.750247945,1,0.936838118,0.578543344,0.350066029,0.218438923,0.184806747,0.167501375,0.151597122,0.112651046,0.082401422,0.055032092,0.037277298,0.027117724,0.021705274,0.018670581,0.014523945,0.010184251,0.008057681
NovaFluor Yellow 730,0.000528365,0.000603582,-0.000142288,-0.000141199,0.000581087,0.000287897,0.000725815,0.000810535,-1.10E-05,0.001820105,0.008717194,0.015203629,0.012685782,0.007951793,0.002251195,0.000579845,0.004063352,0.004186958,0.003026167,0.004836876,0.008613061,0.018626214,0.03511097,0.043255284,0.037483223,0.024073482,0.015866719,0.009389138,0.005547362,0.001176142,0.00081416,0.000508826,0.000354451,0.00015186,8.76E-05,-0.001277217,-0.000257364,-7.05E-05,0.000328963,2.58E-05,-2.44E-05,0.000214639,6.39E-05,1.76E-05,0.000190617,0.001628176,0.003185364,0.003160786,0.001790676,0.000720447,0.000171169,0.001052389,0.001001582,0.000973213,0.001234883,0.002154986,0.005370062,0.010997513,0.016664304,0.01613443,0.011969164,0.00779161,0.005819684,0.004023214,0.003597249,0.003177149,0.002545763,0.001870489,0.001268082,0.00065412,-0.000855231,-0.001047994,-0.000391122,-0.000621929,-0.000516277,-0.000191691,-0.00016964,0.000230569,3.34E-05,0.001746727,0.008808546,0.014878512,0.01368439,0.01156294,0.003384067,0.00078911,0.005933441,0.005661262,0.005038436,0.00649708,0.012080801,0.025690335,0.050204663,0.067105698,0.062401393,0.044867535,0.029200782,0.019969624,0.014590288,0.01199486,0.010027948,0.009581832,0.006733641,0.004221465,0.001569301,-0.00020572,0.000106362,0.00015111,0.000823251,0.004443639,0.001779034,0.009137976,0.038012651,0.058230801,0.050723509,0.037736375,0.013650157,0.001968517,0.014489626,0.015001909,0.013420169,0.016170944,0.026491922,0.053271008,0.098485274,0.141552788,0.139441443,0.102952677,0.068296313,0.047549522,0.036413509,0.026929366,0.024764949,0.020441734,0.017439719,0.012262345,0.008573305,0.302718759,0.59630166,0.765530254,0.69078333,0.49579167,0.183133646,0.031942611,0.182506504,0.213696941,0.162879091,0.166974158,0.243669341,0.418125641,0.778602293,1,0.996621993,0.728007809,0.482249134,0.341514021,0.265112557,0.203637137,0.175797074,0.148374884,0.122473401,0.083081969,0.062846243,0.000806702,0.001394276,0.003597125,0.008386748,0.018717585,0.035818693,0.067604123,0.087745926,0.086805977,0.061547808,0.042851363,0.029902501,0.023155814,0.019302175,0.0178365,0.016389671,0.012035919,0.00822518,0.006218372
Pacific Blue,-0.000497288,0.003584623,0.007336901,0.004266928,0.003651237,0.002446899,0.001413048,0.000947407,0.000163807,9.61E-06,3.70E-05,0.000182071,7.61E-05,9.01E-05,-2.44E-05,-1.75E-05,0.000224811,2.74E-05,-7.26E-05,0.000194943,-0.000144817,7.58E-05,8.34E-05,0.000110403,0.000194899,0.000112523,1.08E-05,1.65E-05,3.75E-05,-7.59E-06,3.64E-06,-7.60E-07,1.46E-05,7.38E-06,7.42E-06,-0.000543748,0.006341054,0.012994054,0.009065284,0.009834111,0.006840668,0.004417537,0.002337119,0.00040657,0.000208309,0.000643268,0.000387289,0.000293859,0.000170436,4.64E-05,-7.18E-07,6.47E-05,5.44E-05,2.72E-05,2.25E-05,3.53E-07,5.34E-06,3.44E-05,7.48E-05,0.000198306,0.000166137,9.51E-05,5.81E-05,3.15E-05,-3.58E-07,4.15E-05,9.15E-06,1.55E-05,-2.09E-05,9.92E-08,0.342884086,1,0.592021928,0.499852853,0.41327357,0.27471116,0.188280029,0.100380442,0.012823202,0.011931095,0.023992994,0.01688892,0.011316817,0.009297416,0.002825458,0.000428086,0.00216572,0.001735904,0.001174888,0.000839638,0.00063581,0.000632372,0.001416877,0.004929996,0.010052135,0.009307161,0.006450053,0.004394126,0.002168193,0.000730315,0.00028654,0.000510786,0.000370337,9.86E-05,2.70E-05,-9.59E-05,1.06E-05,-4.97E-05,-5.02E-05,-6.11E-05,-2.80E-05,-7.89E-06,-0.000132262,-9.53E-06,-3.36E-06,-1.95E-05,-2.18E-05,-3.80E-06,-9.07E-06,-2.08E-05,-1.40E-05,1.02E-05,-3.92E-06,-1.68E-05,4.93E-06,-2.50E-06,-3.63E-06,-5.41E-06,7.93E-06,-1.09E-05,-6.94E-06,6.26E-07,-5.45E-07,4.36E-06,-4.01E-06,-3.75E-06,2.00E-06,0.000273212,5.64E-05,2.12E-05,0.000116595,3.53E-05,6.32E-06,-1.35E-06,-3.87E-05,-3.35E-05,-5.28E-05,-8.11E-05,-8.77E-05,0.000119954,4.06E-05,3.20E-05,1.64E-05,-1.27E-05,-2.37E-06,1.07E-05,6.58E-06,-6.79E-07,-3.80E-06,-8.50E-06,-2.03E-06,2.31E-06,-5.50E-07,-2.06E-05,-1.77E-05,1.66E-05,-1.22E-05,1.29E-06,2.50E-05,2.30E-05,3.58E-05,-2.71E-05,2.63E-05,7.88E-06,-4.62E-06,-3.51E-06,-1.40E-05,-7.23E-05,-3.74E-05,8.94E-05,3.11E-05,-9.43E-06
PE,-2.91E-05,1.93E-05,-1.70E-05,-0.000103053,-7.19E-05,0.00016586,0.000261812,0.000824391,0.000288674,0.00984549,0.021535077,0.011060026,0.007011885,0.005349346,0.001823525,0.000209241,0.001363886,0.001260749,0.00083384,0.000702112,0.000541754,0.000358884,0.000249905,0.000162112,8.74E-05,5.47E-05,3.55E-05,2.71E-05,4.94E-06,1.05E-05,2.40E-05,4.06E-05,2.25E-05,1.24E-05,5.27E-06,-0.000114834,-2.64E-05,-9.92E-06,2.67E-05,1.57E-05,4.36E-05,0.000192759,0.00077037,0.000372592,0.008707273,0.022928604,0.012435595,0.007213877,0.005415756,0.002509565,0.000299388,0.001552513,0.001286028,0.000995147,0.000771458,0.000528815,0.000398593,0.000281398,0.000174123,0.000119359,0.000104264,7.23E-05,8.00E-05,5.36E-05,8.42E-05,0.0002083,0.000319278,0.000271888,0.000151682,8.65E-05,-7.46E-05,-4.23E-05,4.65E-05,0.000440819,6.50E-05,0.000199043,0.001316749,0.004105379,0.00153663,0.046331213,0.08492972,0.046004036,0.030316467,0.031123026,0.011123244,0.00150086,0.007377253,0.005965702,0.00418293,0.003180224,0.002420022,0.001729632,0.00116429,0.000798226,0.000541073,0.000387125,0.000244906,0.000276272,0.000255482,0.0003729,0.001018643,0.002032464,0.00147268,0.00082833,0.000473967,0.00124736,0.000702739,0.00077178,0.002892072,0.011078682,0.005055772,0.117478484,0.289523438,0.162338725,0.094139339,0.080472721,0.033892606,0.003056838,0.017420565,0.015066341,0.011351144,0.009128289,0.006833853,0.004737309,0.003037532,0.00214403,0.00161003,0.001193477,0.001021399,0.000908033,0.000822249,0.001065322,0.001957824,0.003311188,0.002570268,0.001619885,0.000994539,0.88743398,1,0.492843789,0.29095637,0.239375321,0.103262246,0.01096949,0.048597578,0.05059725,0.034086252,0.026697569,0.021467388,0.014878697,0.01056851,0.006689512,0.005196378,0.004086151,0.003491205,0.002970543,0.002585054,0.002461929,0.004100101,0.005744104,0.004599635,0.002613986,0.001926765,2.36E-05,2.65E-06,2.96E-05,3.65E-06,-2.52E-06,1.34E-05,-5.05E-06,3.25E-06,-8.25E-07,-5.21E-06,2.13E-06,1.58E-06,-2.28E-06,2.58E-06,3.38E-05,-3.69E-05,1.97E-06,2.24E-05,4.65E-06
PE-Cy5,-0.000371707,-0.000138225,-6.23E-05,0.000253819,0.000148217,0.000148771,-3.85E-05,9.18E-05,3.44E-05,0.000221043,0.000482468,0.000320665,0.00033141,0.000215404,0.000136891,0.000795104,0.009986143,0.02224298,0.02300004,0.01851056,0.011651266,0.007934072,0.006752753,0.005622097,0.004293761,0.002817187,0.00186512,0.001184688,0.000545989,9.52E-05,6.25E-05,2.33E-05,1.72E-05,4.35E-06,6.45E-06,-0.000242032,-5.54E-05,-3.18E-05,-1.45E-05,5.93E-06,-2.15E-05,6.62E-06,5.99E-05,3.68E-06,0.00015048,0.000421129,0.000242723,0.000156563,0.000135929,9.17E-05,0.000492257,0.006532693,0.014282014,0.018239318,0.013782014,0.007748481,0.00544057,0.004258235,0.004005444,0.003419488,0.002650117,0.001759143,0.001314596,0.000924433,0.000683228,0.00054445,0.000431702,0.000300061,0.000199712,0.000111293,-0.000250677,-0.000263154,-4.98E-05,-7.36E-05,-8.01E-05,0.000195829,4.66E-05,0.000278526,7.48E-05,0.001293415,0.002408451,0.001442579,0.001071512,0.001408757,0.000733247,0.004193337,0.044368304,0.0911483,0.097147672,0.067993813,0.04402808,0.030423567,0.025317407,0.02208772,0.017581392,0.013157266,0.00863846,0.006053558,0.004443292,0.003287331,0.002475884,0.002075772,0.001462426,0.000970075,0.000448066,0.000643071,0.000404619,0.000339984,0.000613178,0.001423397,0.000548947,0.005030079,0.012432826,0.007534968,0.004861407,0.004999929,0.00299996,0.009185003,0.122819013,0.282854223,0.338208253,0.263432094,0.159173247,0.103792783,0.080281682,0.072879088,0.063671735,0.04905421,0.034171954,0.023963087,0.017268038,0.01174793,0.00967171,0.007448145,0.006334849,0.00460834,0.003180883,0.041392861,0.045854206,0.021912788,0.014140351,0.014280075,0.00900414,0.033856651,0.361004826,0.911061037,1,0.771732173,0.509713744,0.336989327,0.286992895,0.237800673,0.211873711,0.159526781,0.111398682,0.078845152,0.05766614,0.040696101,0.031443598,0.024662213,0.019572054,0.013539894,0.010379864,0.091975502,0.145131846,0.170965437,0.115933247,0.071145547,0.045069701,0.038899109,0.034805447,0.031652901,0.023576567,0.017206049,0.011517583,0.008087866,0.006235906,0.005161722,0.004259981,0.00324803,0.002292239,0.001778252
PE-Cy7,-0.000488486,2.92E-05,3.37E-05,0.000137276,2.22E-06,-3.16E-05,0.000133009,0.000218563,9.20E-05,0.000274183,0.000796859,0.0003591,0.000381661,0.000264672,0.000139882,1.33E-05,1.59E-05,7.53E-05,4.37E-05,0.000193154,0.000129038,3.03E-05,0.000166729,0.000439147,0.001530595,0.004480929,0.010026548,0.016349835,0.020967563,0.01587794,0.010532706,0.0063612,0.003471303,0.001024591,0.000269708,-0.000262137,-7.32E-05,-1.30E-05,2.87E-05,1.58E-05,-1.01E-05,7.59E-05,0.000145725,4.24E-05,0.000194779,0.00049942,0.00033124,0.000217651,0.000141259,6.47E-05,2.00E-06,3.45E-05,4.65E-05,6.20E-05,3.82E-05,3.65E-05,5.23E-05,0.000123884,0.000401469,0.001392551,0.004136498,0.008724292,0.015882171,0.019099067,0.019350209,0.014684409,0.01051682,0.005865184,0.004041258,0.002506265,-0.000313294,-0.000319196,-0.00013659,0.000489746,-0.000128486,-0.000126919,0.000415671,0.000673836,0.000209928,0.001490565,0.002959595,0.00177943,0.001202795,0.001208112,0.0004047,6.10E-05,0.000345232,0.00033138,0.000217491,0.000261971,0.000292984,0.000361747,0.000870543,0.002656673,0.008415692,0.022962834,0.0459589,0.074072976,0.088537793,0.081028076,0.059068358,0.04089687,0.025592447,0.016024774,0.009535344,0.001936745,0.001414521,0.001145254,0.001790792,0.004091214,0.001253012,0.006742835,0.017311682,0.010643761,0.006749718,0.005636295,0.002236685,0.00016688,0.001227841,0.001222315,0.001101227,0.001040044,0.001002568,0.001279223,0.002698866,0.008368268,0.027585825,0.076317099,0.164755047,0.272393406,0.340038997,0.280888938,0.224001829,0.142601358,0.097899032,0.066027997,0.047023793,0.049873332,0.057068501,0.028045535,0.017573956,0.016708345,0.005856069,0.000456538,0.003021656,0.003443706,0.002696715,0.002469348,0.002617459,0.003348913,0.008704645,0.025776118,0.08691181,0.232131883,0.493125161,0.809417031,1,0.877795186,0.647517663,0.428968411,0.28366714,0.179767345,0.140069474,8.52E-05,8.62E-05,0.000133748,9.54E-05,0.000101195,0.000130269,0.000273923,0.000830378,0.002992915,0.008155589,0.018331146,0.029858984,0.037029425,0.035558451,0.028191531,0.019337161,0.01191219,0.007710509,0.00640656
PE-CF594,0.00020217,6.48E-05,-3.84E-07,1.18E-05,6.70E-05,9.28E-06,-3.08E-05,-4.07E-05,-1.75E-05,9.98E-05,0.000458061,0.001271088,0.002677174,0.003155234,0.001169029,6.38E-05,0.000582239,0.000893658,0.000759963,0.000706451,0.000560649,0.000355141,0.000170522,8.96E-05,7.49E-05,5.15E-05,2.16E-05,3.81E-05,-4.96E-05,-3.73E-05,-6.14E-05,-5.88E-05,-1.09E-05,-5.23E-05,-2.30E-05,0.000161928,0.000105502,7.05E-05,5.49E-05,2.12E-05,0.000124699,9.92E-05,9.59E-05,1.36E-05,0.000744272,0.002699276,0.007562904,0.016265428,0.017946505,0.007232625,0.000766157,0.005075311,0.005246444,0.005456134,0.0047745,0.003111825,0.002234237,0.001480616,0.001188298,0.000886893,0.000618579,0.000538752,0.000526217,0.000396509,0.00023054,0.000253067,0.000188622,0.000169937,0.00025681,0.000338562,3.46E-05,0.000197978,0.000194056,0.000937153,0.001138647,0.000456343,0.000733699,0.000816217,0.00023222,0.003323948,0.010024349,0.027163289,0.063862147,0.095713739,0.037343713,0.003273518,0.020562696,0.024960728,0.023017882,0.019465293,0.01429687,0.009501082,0.006175104,0.004290688,0.003270813,0.003044224,0.002097661,0.00169614,0.001399082,0.00113479,0.000804341,0.000848667,0.000605561,0.001559396,0.000998772,0.001113869,0.000744669,0.000758293,0.00109509,0.002282023,0.001134233,0.012001467,0.04984794,0.127886679,0.288252177,0.389802195,0.19777921,0.012287987,0.069612404,0.098180342,0.098504786,0.094340672,0.06916962,0.041553352,0.025725541,0.018040075,0.014030689,0.011942298,0.009562246,0.007364403,0.006376693,0.004333438,0.003220153,0.002710097,0.002736534,0.003263074,0.002950177,0.101537357,0.179014349,0.432670773,0.854095563,1,0.332039458,0.038120573,0.205071705,0.239718161,0.21208017,0.183926501,0.138291346,0.092912208,0.064813808,0.045519744,0.037298168,0.030223485,0.025318401,0.020840835,0.015429091,0.010557856,0.007686585,0.006847792,0.00681776,0.008437179,0.01060017,0.000352001,0.000487754,0.000479208,0.000483685,0.000337296,0.000193974,0.000168601,0.000103365,7.40E-05,6.56E-05,3.26E-05,1.20E-05,2.21E-05,1.09E-05,7.71E-06,-9.32E-06,2.07E-05,-1.78E-06,3.27E-05
PE-Dazzle 594,1.29E-05,1.24E-05,-4.88E-05,4.04E-05,8.91E-05,0.000190316,-3.17E-06,0.000294463,7.53E-05,0.001219125,0.004697516,0.01228922,0.02444962,0.02571625,0.008210562,0.000916556,0.005655438,0.006407659,0.005058166,0.004366311,0.003111325,0.00187115,0.001296424,0.000849675,0.000629391,0.000503867,0.000329716,0.000194694,1.76E-05,5.81E-06,8.02E-06,2.03E-05,2.10E-05,2.26E-05,3.51E-05,-0.000227789,-6.61E-05,-2.01E-05,3.22E-05,-1.92E-05,9.11E-05,0.00011968,4.16E-05,4.84E-05,0.000812565,0.003510089,0.009145002,0.020181797,0.022198501,0.009903729,0.00100083,0.005523711,0.005571818,0.005429651,0.004375902,0.002860617,0.001949923,0.001314877,0.000978669,0.000755193,0.000635695,0.00046707,0.000358306,0.000244384,0.000191073,0.000155168,0.000130917,0.000166411,0.000234712,0.000309916,-0.000226004,-0.000167582,-0.000138635,0.000441279,8.74E-05,0.000136816,0.000674847,0.000907665,0.000309775,0.004616486,0.014932223,0.038979042,0.082013376,0.112771268,0.037192939,0.004443983,0.023439364,0.023145949,0.019762008,0.015501128,0.011153708,0.007068977,0.004913232,0.003552713,0.002629518,0.002052525,0.001588287,0.001136531,0.000831974,0.00060152,0.00043773,0.000565971,0.000789924,0.001166832,0.00172518,0.001319079,0.000809068,0.000820982,0.00149032,0.003041359,0.001123603,0.016727036,0.0611628,0.147080175,0.29636544,0.366730442,0.144863385,0.011990556,0.071734189,0.07409337,0.068802996,0.058238735,0.040040824,0.026172017,0.01725879,0.012655109,0.010400949,0.008583018,0.006624489,0.005053482,0.003695289,0.002484352,0.001989494,0.001807699,0.002194334,0.002987107,0.003669623,0.136048245,0.225912604,0.429394952,0.850901277,1,0.412057401,0.038982488,0.184790796,0.224338697,0.188585573,0.153891061,0.112485434,0.072857928,0.054683472,0.037045043,0.031282028,0.025220223,0.020050979,0.015079804,0.010858262,0.007653593,0.009944126,0.004656308,0.004921314,0.00546973,0.007253186,0.000384416,0.000423581,0.000436085,0.000310269,0.000194606,0.000140024,0.000122409,6.96E-05,7.37E-05,3.79E-05,4.28E-05,2.88E-05,1.41E-05,5.30E-06,3.70E-05,2.49E-05,-1.02E-05,1.88E-05,-4.06E-06
PE-Fire 640,-0.000395573,-0.000140777,-9.95E-05,0.000321921,-0.000187923,0.000311411,3.57E-06,5.83E-05,2.24E-05,0.000292552,0.000828413,0.000554763,0.001667974,0.005451329,0.004076711,0.003226248,0.021723564,0.02017676,0.012944892,0.010823965,0.009043701,0.007991553,0.006929366,0.005334475,0.003260197,0.002122823,0.001545104,0.000898777,0.000462765,9.83E-05,7.31E-05,3.32E-05,2.77E-05,1.45E-06,1.28E-05,-0.000332966,-9.29E-05,-2.21E-05,-4.56E-05,-5.32E-06,1.31E-05,0.000100387,0.000133706,4.18E-05,0.000218768,0.00068683,0.00050761,0.001023754,0.003727739,0.004029545,0.002670837,0.019024129,0.017191372,0.012988894,0.009646836,0.007121488,0.006765837,0.005788327,0.004935494,0.003619272,0.002657962,0.001830416,0.001453874,0.001078808,0.000964566,0.000727831,0.000634156,0.0003758,0.000266745,0.00018155,-0.00034284,-0.000295742,1.79E-05,0.000265786,5.63E-05,0.000146986,0.000526839,0.000627839,0.000178371,0.002058348,0.003855782,0.003243403,0.007549912,0.037866295,0.02786304,0.02260966,0.130866066,0.11242842,0.075088512,0.054263418,0.046863242,0.041589276,0.036903947,0.027971104,0.019648979,0.013891483,0.009775499,0.007448532,0.005908364,0.004731511,0.003849204,0.003088316,0.002216397,0.001394501,0.001029555,0.002126666,0.001490532,0.001186721,0.001784578,0.003719714,0.001286536,0.009193433,0.023048145,0.016141967,0.024702769,0.092041701,0.086873614,0.041085271,0.319073024,0.299746355,0.214303724,0.163889014,0.13198109,0.113850255,0.096187032,0.078731114,0.059165524,0.042785809,0.031181103,0.023755147,0.019141639,0.014070456,0.011920045,0.009258562,0.007544454,0.005479786,0.004223942,0.072324929,0.081923314,0.04748139,0.079808136,0.291496836,0.271707646,0.153355165,0.915781735,1,0.657348186,0.491979025,0.423113273,0.367344238,0.341004175,0.255140976,0.198057555,0.140138343,0.101096165,0.077921425,0.06638442,0.047968461,0.038520399,0.02992419,0.023178225,0.015744722,0.012912988,0.091193022,0.096815025,0.072861246,0.04849718,0.039648655,0.034500963,0.032928436,0.026583108,0.020629012,0.014327357,0.010934359,0.008035991,0.006397666,0.005252142,0.004377923,0.003706639,0.002755548,0.00187107,0.001353728
PE-Fire 700,-0.001550592,-0.000152686,-0.000362613,0.00113081,-0.000493428,-0.000288001,0.000413427,-0.000153753,-5.19E-05,0.00042991,0.000804231,0.000432846,0.0002308,0.000394889,-5.80E-06,1.37E-07,9.58E-05,0.00108254,0.005081122,0.015999113,0.026582788,0.025996629,0.020274884,0.013501137,0.008060243,0.006578441,0.005259264,0.003729383,0.002066337,0.000514234,0.000178285,0.000129082,5.29E-05,4.98E-05,1.12E-05,-0.000674401,-0.000167255,-5.04E-05,-0.000261777,0.00018475,-0.000108094,-7.64E-06,-1.33E-05,-2.05E-05,0.000145254,0.000497734,0.000327303,0.000211244,0.000217707,6.14E-05,-1.12E-05,0.000177738,0.000786924,0.003708463,0.011396318,0.018479657,0.020875027,0.015826403,0.010884959,0.007360668,0.005710277,0.004621659,0.004771343,0.004026242,0.003434894,0.002175432,0.001850773,0.001012931,0.000652252,0.00045741,-0.000713622,-0.00059529,-0.000652572,0.000377657,-0.000836451,-5.20E-05,0.000403594,0.000696224,0.000100206,0.001750352,0.003205561,0.001696932,0.001511769,0.001571019,0.000731054,0.000149619,0.00148512,0.006349544,0.022745734,0.061928022,0.106484934,0.107396525,0.084176104,0.056024793,0.038519305,0.029413088,0.024897957,0.022598978,0.018204986,0.014715833,0.010793615,0.007943975,0.005380348,0.002969638,0.001402626,0.000900528,0.000525316,0.000421134,0.000757037,0.001847385,0.000665706,0.007602342,0.01934647,0.011615973,0.006701031,0.005908428,0.002854389,0.000555099,0.003957721,0.014571168,0.061881163,0.187401244,0.322086303,0.329131321,0.242653813,0.166424323,0.117827276,0.093184972,0.081399235,0.07469809,0.065855231,0.046476155,0.035485645,0.024796537,0.018711164,0.012776719,0.008926123,0.058473579,0.069785272,0.032579489,0.019945763,0.016829318,0.007168969,0.001159817,0.01089053,0.046593067,0.19119786,0.525241646,0.952090397,1,0.812951452,0.522558639,0.384009815,0.30101758,0.257570641,0.238645212,0.204883557,0.153698442,0.110440649,0.078542729,0.059029689,0.038723888,0.030212091,0.001541439,0.004839521,0.02009285,0.055163932,0.099576379,0.104183519,0.084707198,0.054658019,0.038354529,0.029683095,0.027442374,0.024549154,0.021262965,0.016890435,0.013280145,0.009767808,0.006513826,0.004709596,0.003705848
PE-Fire 810,-0.001220755,-0.000258187,0.000151167,0.000151763,0.000376974,0.000379291,9.30E-05,0.000937654,0.000228749,0.005575675,0.01222137,0.006457162,0.004647895,0.00328627,0.000984428,0.000130002,0.000739546,0.00077185,0.000703215,0.001099439,0.001437002,0.001103492,0.000893035,0.000546191,0.000397781,0.000295778,0.000790608,0.001716527,0.00437228,0.008295342,0.011793162,0.012903271,0.01024526,0.003524413,0.00064606,-0.00066162,-0.000149276,-1.51E-05,0.000130416,-1.10E-05,9.86E-05,0.000224665,0.000513865,0.0002058,0.003405372,0.009070829,0.005103261,0.00309936,0.002296282,0.001023626,9.90E-05,0.000693483,0.000616586,0.000613633,0.00080004,0.001032041,0.000976094,0.000679623,0.000542148,0.000376523,0.000441061,0.000772218,0.001922038,0.004245074,0.00852876,0.013036334,0.016200254,0.012810726,0.009623689,0.005309008,-0.000658674,-0.000584572,-6.33E-05,0.000536605,7.93E-05,0.000521673,0.001098629,0.003942811,0.001193744,0.026562076,0.050051422,0.027784291,0.01854163,0.019761355,0.006442151,0.000841209,0.004817618,0.004155035,0.004185753,0.005101623,0.006189843,0.005611857,0.004141722,0.002940859,0.002381924,0.002866351,0.005312373,0.012448917,0.027598977,0.050915602,0.070477468,0.08252585,0.069643115,0.047456869,0.025319495,0.004642837,0.003272408,0.002677828,0.005429356,0.01565692,0.006101652,0.104127861,0.25962411,0.147787609,0.088325535,0.075435251,0.031370811,0.002790111,0.017038111,0.015683502,0.014805741,0.019498152,0.02305269,0.020255773,0.014552296,0.010409421,0.008739134,0.009927953,0.017770181,0.039644416,0.090270598,0.150914389,0.228904536,0.250978125,0.236618324,0.174006313,0.109223904,0.881261514,1,0.469722948,0.283273454,0.233225374,0.099231665,0.01041378,0.049365093,0.053834616,0.046477107,0.057787281,0.072823594,0.065169707,0.05146724,0.034389866,0.029743424,0.032899569,0.057452401,0.130559814,0.290003481,0.498430463,0.705013726,0.788908661,0.712392282,0.490306429,0.345827308,0.000237634,0.000564297,0.001410375,0.002613628,0.00329246,0.002908512,0.002168483,0.001483295,0.001077886,0.001086945,0.001414981,0.002695461,0.005478759,0.009988855,0.015511134,0.018432055,0.015846579,0.011094632,0.007831349
